year,bird.id.prefix,bird.id,species,sex,coll.date,jul.date,days.since.oct,easting,northing,site,time,wing,head.bill,culmen.length,culmen.width,tarsus,keel,body.length,body.mass,molt,molt.score,liver,ab.fat,heart,age,protein,lipid
2017,17DX,1,GADW,M,11/27/17,331,57,582829,4225319,Joice D,7:34,275,100.22,42.77,16.75,40.9,105.47,445,818,Yes,NA,29.2,4,7.9,I,52.95,31.3
2017,17DX,2,MALL,M,11/20/17,324,50,583051,4225266,Joice C,6:31,286,114.09,56.74,20.95,44.42,104.26,521,1363.2,Yes,NA,42.1,37.4,15.6,I,31.8,54.9
2017,17DX,3,MALL,M,11/20/17,324,50,583051,4225266,Joice C,7:29,287,115.27,55.46,22.62,47.2,113.6,532,1401.4,Yes,NA,45.5,32.1,21.4,A,38.8,47.45
2017,17DX,4,MALL,F,11/20/17,324,50,583051,4225266,Joice D,7:29,278,110.62,54.02,20.93,44.91,104.6,500,1307.4,Yes,NA,46,36.6,17.8,A,35.2,50.8
2017,17DX,5,AGWT,M,11/20/17,324,50,583282,4225046,Joice C,7:30,182,82.74,37.91,13.6,31.8,71.2,320,338.3,Yes,NA,8.7,8.3,4.3,I,37.4,51
2017,17DX,6,MALL,M,11/27/17,331,57,582829,4225319,Joice D,7:15,278,113.49,53.39,21.92,47.32,113.98,510,1213.5,No,NA,24.4,28.3,13.9,I,38.5,48.85
2017,17DX,7,GADW,F,11/30/17,334,60,583332.4,4224869.2,Joice C,9:16,259,95.59,40.31,17.95,39.35,92.88,425,806.1,Yes,NA,24.8,8.7,9.3,I,49.3,35.5
2017,17DX,8,NOPI,M,11/27/17,331,57,582424,4224686,Joice D,10:02,270,114.17,54.85,18.59,44.23,110.05,512,1032.9,Yes,NA,37.6,29.5,11,I,37.6,55.2
2017,17DX,9,AMWI,M,11/27/17,331,57,582829,4225319,Joice D,8:10,248,91.54,40.32,16.61,37.03,97.67,414,777.5,Yes,NA,22.1,17.4,10.6,A,41.7,44.4
2017,17DX,10,AMWI,M,11/20/17,324,50,583051,4225266,Joice D,7:48,257,86.05,34.68,16.15,40.23,97.86,413,823.7,Yes,NA,14.2,28.3,9.1,A,33.1,56.6
2017,17DX,11,MALL,M,11/20/17,324,50,583051,4225266,Joice D,7:53,285,112.08,53.91,21.91,45.66,115.5,520,1237.4,Yes,NA,42.1,19.8,16.3,A,43,44.2
2017,17DX,12,MALL,M,11/27/17,331,57,582829,4225319,Joice D,8:31,298,116.64,57.52,23.34,45.48,118.79,518,1237.9,Yes,NA,26.5,19.4,13.7,I,38.7,47.6
2017,17DX,13,MALL,M,11/20/17,324,50,583051,4225266,Joice D,NA,305,119.45,57.12,22.56,48.75,114.5,529,1342.9,Yes,NA,26.3,22.7,15,I,41,41.4
2017,17DX,14,NOPI,M,11/20/17,324,50,583282,4225046,Joice C,8:00,269,104.05,48.95,18.37,42.69,101.18,492,901.6,Yes,NA,33.4,16.9,11.6,A,39.5,46.9
2017,17DX,15,AMWI,F,11/20/17,324,50,583282,4225046,Joice C,NA,245,85.77,36.51,16.7,37.97,86.44,400,784.2,Yes,NA,14.5,26.9,8.1,A,31.9,56.2
